Area,Year,Value
Northern America,2000,41565534.78
Northern America,2001,42405505.15
Northern America,2002,43016764.75
Northern America,2003,43697369.08
Northern America,2004,44403168.02
Northern America,2005,44337789.63
Northern America,2006,44570381.46
Northern America,2007,46054336.2
Northern America,2008,47420149.44
Northern America,2009,46301693.78
Northern America,2010,46393381.58
Northern America,2011,46804304.59
Northern America,2012,46933168.49
Northern America,2013,47063409.78
Northern America,2014,47175731.2
Northern America,2015,47754226.1
Northern America,2016,49274546.38
Northern America,2017,50614968.43
Northern America,2018,51768012.23
Northern America,2019,53220144.15
Northern America,2020,52173485.08
Northern America,2021,52404055.12
Northern America,2022,52744360.76
